Time (min)	Conc (micromolar)	Temp	pH	Control (uCi)
2	20	RT	5.5	NaN
2	20	RT	5.5	NaN
2	20	RT	5.5	NaN
2	20	Cold	5.5	NaN
2	50	RT	5.5	NaN
2	50	RT	5.5	NaN
2	50	RT	5.5	NaN
2	50	Cold	5.5	NaN
2	100	RT	5.5	NaN
2	100	RT	5.5	NaN
2	100	RT	5.5	NaN
2	100	Cold	5.5	NaN
2	200	RT	5.5	NaN
2	200	RT	5.5	NaN
2	200	RT	5.5	NaN
2	200	Cold	5.5	NaN
2	500	RT	5.5	NaN
2	500	RT	5.5	NaN
2	500	RT	5.5	NaN
2	500	Cold	5.5	NaN
2	1000	RT	5.5	NaN
2	1000	RT	5.5	NaN
2	1000	RT	5.5	NaN
2	1000	Cold	5.5	NaN
NaN	NaN	NaN	NaN	0.5
NaN	NaN	NaN	NaN	0.1
NaN	NaN	NaN	NaN	0.02
NaN	NaN	NaN	NaN	0.004
NaN	NaN	NaN	NaN	0.0008
NaN	NaN	NaN	NaN	0.00016
NaN	NaN	NaN	NaN	0.000032
NaN	NaN	NaN	NaN	0.0000064
